STATION,STATION_CODE,DATA_SOURCE,SITE_TYPE,OWNER,FIRE_CENTRE,FIRE_ZONE,LATITUDE,LONGITUDE,ELEVATION,or_site_id,site_id,client_id,system_id
14G (CRD),1142,Capital Regional District,External,Capital Regional District,Coastal Fire Centre,South Island Zone,48.4944,-123.6139,485,NA,NA,NA,NA
31N (CRD),543,Capital Regional District,External,Capital Regional District,Coastal Fire Centre,South Island Zone,48.5297,-123.6375,600,NA,NA,NA,NA
4RW6 (CRD),1143,Capital Regional District,External,Capital Regional District,Coastal Fire Centre,South Island Zone,48.5861,-123.7494,665,NA,NA,NA,NA
AFTON,322,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),50.6727,-120.4822,693,395,96.1.70.251:48006;0x0141-0x0142,f123a2e6-fdcf-460a-bfd1-409f859bb62d,27
AKOKLI CREEK,838,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Kootenay Lake Zone,49.4358,-116.7464,821,NA,NA,NA,NA
ALEXIS CREEK,209,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,52.0838,-123.2733,791,NA,NA,NA,NA
ALLISON PASS,317,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.0625,-120.7668,1174,NA,NA,NA,NA
ANAHIM LAKE,213,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,52.4606,-125.307,1097,NA,NA,NA,NA
ANDERSON CREEK,977,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.6551,-121.3576,655,NA,NA,NA,NA
APE LAKE,1275,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Mid Coast),52.1346,-126.2627,1414,NA,NA,NA,NA
ASHCROFT (EC),1173,Environment Canada,External,Environment Canada,Kamloops Fire Centre,Kamloops Zone (Kamloops),50.7084,-121.2812,327,NA,NA,NA,NA
ASHNOLA,331,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Penticton Zone,49.1391,-120.1844,1683,NA,NA,NA,NA
ASPEN GROVE,302,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,49.9481,-120.6211,1065,NA,NA,NA,NA
ATLIN,111,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Cassiar Zone,59.5845,-133.6643,719,NA,NA,NA,NA
ATTACHIE PLATEAU,1243,Non-Reporting,External,NA,Prince George Fire Centre,Fort St. John Zone,56.2327,-121.4664,646,NA,NA,NA,NA
AUGIER LAKE,167,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Nadina Zone (Lakes),54.3619,-125.5253,927,NA,NA,NA,NA
AUGUST LAKE,836,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,49.4335,-120.4571,855,NA,NA,NA,NA
BAKER,503,Auto-Caller,Hub Station,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.4589,-115.6303,2262,NA,NA,NA,NA
BALDFACE,221,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,52.7101,-124.4822,1666,NA,NA,NA,NA
BEAR FLAT,1244,Non-Reporting,External,NA,Prince George Fire Centre,Fort St. John Zone,56.2751,-121.2127,474,NA,NA,NA,NA
BEAR LAKE,149,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,54.4824,-122.6829,715,NA,NA,NA,NA
BEAVER CREEK,37,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Mid Island Zone,49.3776,-124.9337,121,NA,NA,NA,NA
BEAVERDELL,390,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Southeast Fire Centre,Boundary Zone,49.4564,-119.0886,807,NA,NA,NA,NA
BEDNESTI,175,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,53.8654,-123.3232,858,NA,NA,NA,NA
BEGBIE DL,509,Non-Reporting,Download,BC Wildfire Service,Cariboo Fire Centre,100 Mile House Zone,51.4733,-121.36,1276,NA,NA,NA,NA
BELL-IRVING,432,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Skeena Zone (Kalum),56.3486,-129.2928,391,595,66ad65d299a271067ca51c21,f123a2e6-fdcf-460a-bfd1-409f859bb62d,8
BELLA BELLA (EC),1851,Environment Canada,External,Environment Canada,Coastal Fire Centre,North Island Mid Coast Zone (Mid Coast),52.3619,-128.88,43,NA,NA,NA,NA
BENSON,228,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Quesnel Zone,52.91,-122.065,1006,NA,NA,NA,NA
BERRY,267,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),51.9788,-119.4134,1469,NA,NA,NA,NA
BIG MOUTH 2,868,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,51.8533,-118.5914,1091,NA,NA,NA,NA
BIG SILVER 2,1040,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.7234,-121.8366,570,NA,NA,NA,NA
BIG VALLEY,262,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Quesnel Zone,53.2617,-121.7617,1355,NA,NA,NA,NA
BIGATTINI,2450,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.4539,-115.9872,1540,NA,NA,NA,NA
BLACKPINE,148,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Mackenzie Zone,56.3188,-125.368,1126,NA,NA,NA,NA
BLAEBERRY,866,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,51.4357,-117.0571,861,NA,NA,NA,NA
BLOWDOWN PASS PROJECT,3730,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Lillooet Zone,50.4388,-122.2422,1366,NA,NA,NA,NA
BLUE RIVER 2,1108,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Robson Valley Zone,52.1223,-119.2936,684,NA,NA,NA,NA
BLUEBERRY,4352,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Robson Valley Zone,53.3159,-119.6007,1088,NA,NA,NA,NA
BOB QUINN LAKE,113,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Cassiar Zone,56.9809,-130.251,605,NA,NA,NA,NA
BOOTHROYD,1339,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.9754,-121.4892,361,NA,NA,NA,NA
BOULDER CREEK,1240,Auto-Caller,Weather Station - GOES,Parks Canada,Southeast Fire Centre,Columbia Zone,51.3664,-116.5264,1275,NA,NA,NA,NA
BOWRON HAGGEN,193,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,53.463,-121.5603,927,NA,NA,NA,NA
BOWSER,56,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Coastal Fire Centre,Mid Island Zone,49.4368,-124.7022,108,NA,NA,NA,NA
BOYA LAKE,445,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Cassiar Zone,59.3673,-129.111,742,NA,NA,NA,NA
BRENDA MINES,283,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Penticton Zone,49.8684,-119.9925,1463,NA,NA,NA,NA
BRISCO,865,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Invermere Zone,50.8193,-116.2449,930,NA,NA,NA,NA
BURNS LAKE 850M,181,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Northwest Fire Centre,Nadina Zone (Lakes),54.2591,-125.7598,824,NA,NA,NA,NA
CAHILTY,253,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),50.8879,-119.8383,1543,NA,NA,NA,NA
CALLAGHAN VALLEY (EC),896,Environment Canada,External,Environment Canada,Coastal Fire Centre,Pemberton Zone,50.1443,-123.1093,869,NA,NA,NA,NA
CAMPBELL RIVER AP (EC),26,Environment Canada,External,Environment Canada,Coastal Fire Centre,North Island Mid Coast Zone (Campbell River),50,-125.3,106,NA,NA,NA,NA
CAPILANO GVRD,554,Auto-Caller,Weather Station - GOES,Greater Vancouver Water District,Coastal Fire Centre,Fraser Zone,49.44,-123.097,400,NA,NA,NA,NA
CARIBOO  SF,510,Non-Reporting,Store Forward,BC Wildfire Service,Cariboo Fire Centre,Quesnel Zone,52.8517,-121.6633,1933,NA,NA,NA,NA
CARIBOO CREEK,1790,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Invermere Zone,51.1753,-117.1757,1529,NA,NA,NA,NA
CARIBOU CORNER,1262,Auto-Caller,Weather Station - GOES,Parks Canada,Southeast Fire Centre,Columbia Zone,51.0253,-118.1514,1561,NA,NA,NA,NA
CASEY SF,1076,Non-Reporting,Store Forward,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.2514,-115.4133,1640,NA,NA,NA,NA
CASTLE   SF,493,Non-Reporting,Store Forward,BC Wildfire Service,Southeast Fire Centre,Invermere Zone,51.05,-116.4692,485,NA,NA,NA,NA
CASTLEGAR (EC),395,Environment Canada,External,Environment Canada,Southeast Fire Centre,Arrow Zone,49.3,-117.6,495,NA,NA,NA,NA
CATFISH,199,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,53.5764,-120.8585,871,NA,NA,NA,NA
CEDAR,59,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Coastal Fire Centre,Mid Island Zone,49.0476,-123.8747,31,NA,NA,NA,NA
CEDARVALE,429,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Bulkley Zone (Kispiox),55.0301,-128.3115,174,618,66bf960b00e01a5a0ce7919e,f123a2e6-fdcf-460a-bfd1-409f859bb62d,8
CHEAKAMUS,1283,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Coastal Fire Centre,Pemberton Zone,50.0835,-123.0475,592,NA,NA,NA,NA
CHEF CREEK TEST,1383,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Coastal Fire Centre,Mid Island Zone,49.4041,-124.7584,669,NA,NA,NA,NA
CHERRY LAKE,791,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.1878,-115.5417,1372,NA,NA,NA,NA
CHETWYND (NC),122,Environment Canada,External,Environment Canada,Prince George Fire Centre,Dawson Creek Zone,55.7,-121.6,610,NA,NA,NA,NA
CHETWYND FB,4270,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Prince George Fire Centre,Dawson Creek Zone,55.6907,-121.6137,616,NA,NA,NA,NA
CHILAKO,189,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,53.4937,-123.6088,807,NA,NA,NA,NA
CHURN CREEK,832,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Central Cariboo Zone (Williams Lake),51.4027,-122.3202,1100,NA,NA,NA,NA
CLAYTON FALLS,1199,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Mid Coast),52.2799,-126.8902,1275,NA,NA,NA,NA
CLEARWATER HUB,239,Auto-Caller,Hub Station,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),51.6289,-120.0946,440,NA,NA,NA,NA
COLDSCAUR LAKE,232,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),51.7238,-120.3899,1122,NA,NA,NA,NA
COQUITLAM GVRD,556,Auto-Caller,Weather Station - GOES,Greater Vancouver Water District,Coastal Fire Centre,Fraser Zone,49.386,-122.77,430,NA,NA,NA,NA
CRANBERRY,433,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Bulkley Zone (Kispiox),55.5768,-128.7048,496,NA,NA,NA,NA
CRANBROOK,426,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.6673,-115.8483,996,NA,NA,NA,NA
CRAWFORD,873,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,50.765,-117.9578,887,NA,NA,NA,NA
CURWEN CREEK,352,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Vernon Zone (Vernon),50.6022,-118.4229,1286,NA,NA,NA,NA
DARCY,292,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Pemberton Zone,50.5217,-122.4978,334,NA,NA,NA,NA
DARKWOODS,1203,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Kootenay Lake Zone,49.3576,-116.9502,1657,NA,NA,NA,NA
DAWSON CREEK (NC),435,Environment Canada,External,Environment Canada,Prince George Fire Centre,Dawson Creek Zone,55.8,-120.2,655,NA,NA,NA,NA
DEASE LAKE FS,108,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Cassiar Zone,58.4258,-130.0187,797,NA,NA,NA,NA
DECEPTION,251,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,100 Mile House Zone,51.967,-120.608,1170,NA,NA,NA,NA
DEWAR CREEK,421,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.7845,-116.383,1608,NA,NA,NA,NA
DOWNIE,905,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,51.5154,-118.2721,757,NA,NA,NA,NA
DOWNTON SF,515,Non-Reporting,Store Forward,BC Wildfire Service,Cariboo Fire Centre,Quesnel Zone,52.71,-124.855,2365,NA,NA,NA,NA
DUNCAN,385,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Kootenay Lake Zone,50.7808,-117.1805,1376,NA,NA,NA,NA
EAST BARRIERE,243,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),51.2531,-119.8817,631,NA,NA,NA,NA
EAST OOTSA,170,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Nadina Zone (Lakes),53.5025,-125.7793,1086,NA,NA,NA,NA
EIGHT MILE,391,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Boundary Zone,49.4328,-118.5783,1338,NA,NA,NA,NA
ELK MOUNTAIN,438,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Fort Nelson Zone,59.3336,-125.5114,437,NA,NA,NA,NA
ELKO,412,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.2876,-115.1545,876,NA,NA,NA,NA
EMILY CREEK,425,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Invermere Zone,50.1451,-115.9772,1190,NA,NA,NA,NA
FALLS CREEK,383,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Arrow Zone,50.383,-117.8799,790,NA,NA,NA,NA
FIDELITY,1263,Auto-Caller,Weather Station - GOES,Parks Canada,Southeast Fire Centre,Columbia Zone,51.2344,-117.681,1308,NA,NA,NA,NA
FINTRY,298,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Vernon Zone (Vernon),50.2062,-119.4804,526,NA,NA,NA,NA
FIRESIDE,440,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Fort Nelson Zone,59.7226,-127.335,735,NA,NA,NA,NA
FIVE MILE,1029,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Lillooet Zone,50.9109,-122.6889,875,NA,NA,NA,NA
FLATHEAD 2,418,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.0791,-114.5373,1311,NA,NA,NA,NA
FOGHORN  SF,473,Non-Reporting,Store Forward,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),51.5015,-119.9323,2241,NA,NA,NA,NA
FORD MOUNTAIN,1144,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.1039,-121.6376,372,NA,NA,NA,NA
FORRESTKERR,1377,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Cassiar Zone,56.7116,-130.6784,276,NA,NA,NA,NA
FORT NELSON FS,599,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Fort Nelson Zone,58.8418,-122.5736,375,NA,NA,NA,NA
FORT ST JAMES,146,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Prince George Fire Centre,VanJam Zone (Fort St. James),54.3942,-124.2611,720,NA,NA,NA,NA
FORT ST JOHN (NC),434,Environment Canada,External,Environment Canada,Prince George Fire Centre,Fort St. John Zone,56.3,-120.7,695,NA,NA,NA,NA
FRANK CREEK,1375,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.8747,-122.2816,308,NA,NA,NA,NA
FRENCH BAR,306,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Lillooet Zone,51.1775,-122.2489,1320,NA,NA,NA,NA
FROTH-WIND,474,Auto-Caller,Store Forward,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),52.0105,-119.255,2149,NA,NA,NA,NA
GANOKWA,182,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Bulkley Zone,54.8013,-126.9484,855,NA,NA,NA,NA
GASPARD,222,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Central Cariboo Zone (Williams Lake),51.4517,-122.6617,1675,NA,NA,NA,NA
GAVIN,227,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Central Cariboo Zone (Horsefly),52.47,-121.7417,1081,NA,NA,NA,NA
GLIMPSE,291,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,50.2704,-120.2883,1372,NA,NA,NA,NA
GOATFELL,401,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Kootenay Lake Zone,49.1253,-116.1638,1098,NA,NA,NA,NA
GOATHAVEN,886,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.6673,-115.2144,1063,NA,NA,NA,NA
GOATLICK,3191,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Robson Valley Zone,52.5074,-118.7743,957,NA,NA,NA,NA
GOLD HILL,379,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Kootenay Lake Zone,50.3658,-117.0645,800,NA,NA,NA,NA
GOLDSTREAM 2,919,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,51.6694,-118.4871,1333,NA,NA,NA,NA
GOSNEL,270,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Robson Valley Zone,52.4526,-119.1753,1873,NA,NA,NA,NA
